,CustomerId,FirstName,LastName,Email,Gender,Age,PortfolioId
0,e2d80b40-1227-411c-894c-4876b20a52a9,Nicole,Marshall,Nicole.Marshall@gordon-mills.biz,F,42,cca7264d-8d92-45af-8f4a-4db222bb5fbc
1,48c4e859-2613-4d40-902c-19239a073eda,Anthony,Murphy,Anthony.Murphy@hanson-beltran.com,M,44,fb04d9bf-d005-4d46-9e2f-dc41dbb76640
2,ba09dec7-54e9-4ddf-8861-8853a8a1e2c7,Brandi,Hall,Brandi.Hall@smith.info,F,58,77035a80-fe01-4725-9d65-c4e500f2ee0c
3,3ef9bee7-8847-4710-8926-a1dd2ea27768,Joseph,Simpson,Joseph.Simpson@frazier.info,M,54,ab945a1a-7670-4d51-9465-21af1e802007
4,de6dc35d-ff9f-459c-b22f-73beeb808052,James,Booth,James.Booth@buck-clark.org,M,59,932ed7f0-07bc-4d1a-accd-bc8c33bdc9b9
5,ba482c92-bda9-48d3-ba75-f0921d1c9db2,Evelyn,Dunn,Evelyn.Dunn@jackson.org,F,54,b29a252d-6a3f-4700-bd03-4d064aa114db
6,0aa64118-3eff-45e8-90df-e7656728505a,Jeremy,Zamora,Jeremy.Zamora@lopez.com,M,43,7ea6f997-a5d6-4dab-8ef0-a77fbfa32e60
7,deaeab40-fe86-486e-9fea-15221f1ca2cb,Julian,Moore,Julian.Moore@king.com,M,49,19b47aba-53bb-483b-be93-a3f215f9c3f0
8,9e7dd80d-443c-4c6d-a2c8-345f1e9d45ea,Gwendolyn,Dixon,Gwendolyn.Dixon@howell-williams.com,F,28,e93391f9-1b46-4ecb-aab1-b0ab9e52609a
9,272b5541-eb7f-4c4f-8271-d29cc3c1ecad,Ashley,Jennings,Ashley.Jennings@phillips.com,F,18,6e1a51db-32ef-4d67-9d68-a652f775df0f
10,568d5e3b-8b2c-47a9-91da-90fe2558e00d,Jonathan,Lopez,Jonathan.Lopez@mendoza.com,M,39,5dde7c55-4f44-4db3-ac50-21dc2abab195
